Index,Product_name,Product_price,Product_rating,Review
0,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,799",4.4,Good
1,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499",4.4,Good
2,"realme 8i (Space Black, 128 GB)","₹15,999",4.4,Good
3,"realme 8i (Space Black, 64 GB)","₹13,999",4.5,Bad
4,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",4.4,Bad
5,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",4.4,Good
6,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,799",4.4,Bad
7,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,799",4.4,Bad
8,"APPLE iPhone SE (Red, 64 GB)","₹27,999",4.5,Good
9,"POCO C31 (Shadow Gray, 64 GB)","₹8,999",4.4,Bad
10,"realme C21Y (Cross Black, 32 GB)","₹9,499",4.6,Bad 
11,"realme C21Y (Cross Black, 64 GB)","₹10,499",4.5,Bad
12,"realme C21Y (Cross Blue, 64 GB)","₹10,499",4.5,Good
13,"POCO C31 (Royal Blue, 32 GB)","₹7,999",4.4,Bad
14,"realme C21Y (Cross Blue, 32 GB)","₹9,499",4.6,Good
15,"APPLE iPhone 12 Mini (Black, 64 GB)","₹38,999",4.5,Good
16,"MOTOROLA g31 (Baby Blue, 64 GB)","₹12,999",4.3,Bad
17,"APPLE iPhone SE (White, 64 GB)","₹27,999",4.5,Bad
18,"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹12,999",4.3,Good
19,"realme 8 (Cyber Black, 128 GB)","₹16,999",4.4,Bad
20,"realme 8 (Cyber Silver, 128 GB)","₹17,999",4.4,Bad
21,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",4.4,Good
22,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999",4.3,Bad
23,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",4.3,Good
