,productname,price,rating
0,"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)","1,39,900",4.7
1,"APPLE iPhone 13 Pro Max (Silver, 512 GB)","1,59,900",4.7
2,"APPLE iPhone 13 Pro Max (Gold, 128 GB)","1,29,900",4.7
3,"APPLE iPhone 13 Pro Max (Graphite, 128 GB)","1,29,900",4.7
4,"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)","1,59,900",4.7
5,"APPLE iPhone 13 Pro Max (Silver, 256 GB)","1,39,900",4.7
6,"APPLE iPhone 13 Pro Max (Gold, 1 TB)","1,79,900",4.7
7,"APPLE iPhone 13 Pro Max (Silver, 1 TB)","1,79,900",4.7
8,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","1,59,900",4.7
9,"APPLE iPhone 13 Pro Max (Alpine Green, 128 GB)","1,29,900",4.7
10,"APPLE iPhone 13 Pro Max (Silver, 128 GB)","1,29,900",4.7
11,"APPLE iPhone 13 Pro Max (Gold, 256 GB)","1,39,900",4.7
12,"APPLE iPhone 13 Pro Max (Graphite, 256 GB)","1,39,900",4.7
13,"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)","1,59,900",4.7
14,"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)","1,79,900",4.7
15,"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)","1,29,900",4.7
16,"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","1,79,900",4.7
17,"APPLE iPhone 13 Pro Max (Gold, 512 GB)","1,59,900",4.7
18,"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)","1,39,000",4.7
19,"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","1,79,900",4.7
20,"APPLE iPhone 12 Pro Max (Gold, 512 GB)","1,49,900",4.6
21,"APPLE iPhone 12 Pro Max (Silver, 128 GB)","1,19,900",4.6
22,"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)","1,29,900",4.6
23,"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)","1,09,900",4.6
